TeamID,TeamName,FirstD1Season,LastD1Season,bartorvik,scores,v,v2
1102,Air Force,1985,2021,Air Force,AirForce,0,1
1103,Akron,1985,2021,Akron,Akron,1,1
1104,Alabama,1985,2021,Alabama,Alabama,1,1
1105,Alabama A&M,2000,2021,Alabama A&M,AlabamaA&M,0,1
1112,Arizona,1985,2021,Arizona,Arizona,1,1
1116,Arkansas,1985,2021,Arkansas,Arkansas,1,1
1119,Army,1985,2021,Army,Army,1,1
1120,Auburn,1985,2021,Auburn,Auburn,1,1
1122,Austin Peay,1985,2021,Austin Peay,AustinPeay,0,1
1124,Baylor,1985,2021,Baylor,Baylor,1,1
1125,Belmont,2000,2021,Belmont,Belmont,1,1
1127,Binghamton,2002,2021,Binghamton,Binghamton,1,1
1130,Boston College,1985,2021,Boston College,BostonCollege,0,1
1132,Bowling Green,1985,2021,Bowling Green,BowlingGreen,0,1
1133,Bradley,1985,2021,Bradley,Bradley,1,1
1136,Bryant,2009,2021,Bryant,Bryant,1,1
1137,Bucknell,1985,2021,Bucknell,Bucknell,1,1
1138,Buffalo,1992,2021,Buffalo,Buffalo,1,1
1139,Butler,1985,2021,Butler,Butler,1,1
1140,BYU,1985,2021,BYU,BYU,1,1
1142,Cal Poly,1995,2021,Cal Poly,CalPolySLO,0,1
1143,California,1985,2021,California,California,1,1
1144,Campbell,1985,2021,Campbell,Campbell,1,1
1145,Canisius,1985,2021,Canisius,Canisius,1,1
1150,Charlotte,1985,2021,Charlotte,CharlotteU,0,1
1151,Chattanooga,1985,2021,Chattanooga,Chattanooga,1,1
1153,Cincinnati,1985,2021,Cincinnati,Cincinnati,1,1
1155,Clemson,1985,2021,Clemson,Clemson,1,1
1159,Colgate,1985,2021,Colgate,Colgate,1,1
1160,Colorado,1985,2021,Colorado,Colorado,1,1
1163,Connecticut,1985,2021,Connecticut,Connecticut,1,1
1166,Creighton,1985,2021,Creighton,Creighton,1,1
1172,Davidson,1985,2021,Davidson,Davidson,1,1
1173,Dayton,1985,2021,Dayton,Dayton,1,1
1174,Delaware,1985,2021,Delaware,Delaware,1,1
1176,Denver,1999,2021,Denver,Denver,1,1
1177,DePaul,1985,2021,DePaul,Depaul,0,1
1178,Detroit,1985,2021,Detroit,Detroit,1,1
1179,Drake,1985,2021,Drake,Drake,1,1
1180,Drexel,1985,2021,Drexel,Drexel,1,1
1181,Duke,1985,2021,Duke,Duke,1,1
1182,Duquesne,1985,2021,Duquesne,Duquesne,1,1
1187,East Carolina,1985,2021,East Carolina,EastCarolina,0,1
1189,Elon,2000,2021,Elon,Elon,1,1
1191,Evansville,1985,2021,Evansville,Evansville,1,1
1193,Fairfield,1985,2021,Fairfield,Fairfield,1,1
1196,Florida,1985,2021,Florida,Florida,1,1
1197,Florida A&M,1985,2021,Florida A&M,FloridaA&M,0,1
1200,Fordham,1985,2021,Fordham,Fordham,1,1
1202,Furman,1985,2021,Furman,Furman,1,1
1205,Gardner Webb,2003,2021,Gardner Webb,GardnerWebb,0,1
1206,George Mason,1985,2021,George Mason,GeorgeMason,0,1
1207,Georgetown,1985,2021,Georgetown,Georgetown,1,1
1208,Georgia,1985,2021,Georgia,Georgia,1,1
1210,Georgia Tech,1985,2021,Georgia Tech,GeorgiaTech,0,1
1211,Gonzaga,1985,2021,Gonzaga,Gonzaga,1,1
1213,Grand Canyon,2014,2021,Grand Canyon,GrandCanyon,0,1
1214,Hampton,1996,2021,Hampton,Hampton,1,1
1216,Hartford,1985,2021,Hartford,Hartford,1,1
1218,Hawaii,1985,2021,Hawaii,Hawaii,1,1
1219,High Point,2000,2021,High Point,HighPoint,0,1
1220,Hofstra,1985,2021,Hofstra,Hofstra,1,1
1221,Holy Cross,1985,2021,Holy Cross,HolyCross,0,1
1222,Houston,1985,2021,Houston,Houston,1,1
1224,Howard,1985,2021,Howard,Howard,1,1
1225,Idaho,1985,2021,Idaho,Idaho,1,1
1228,Illinois,1985,2021,Illinois,Illinois,1,1
1230,Incarnate Word,2014,2021,Incarnate Word,IncarnateWord,0,1
1231,Indiana,1985,2021,Indiana,Indiana,1,1
1233,Iona,1985,2021,Iona,Iona,1,1
1234,Iowa,1985,2021,Iowa,Iowa,1,1
1237,IUPUI,1999,2021,IUPUI,IUPUI,1,1
1239,Jacksonville,1985,2021,Jacksonville,Jacksonville,1,1
1241,James Madison,1985,2021,James Madison,JamesMadison,0,1
1242,Kansas,1985,2021,Kansas,Kansas,1,1
1246,Kentucky,1985,2021,Kentucky,Kentucky,1,1
1247,La Salle,1985,2021,La Salle,LaSalle,0,1
1248,Lafayette,1985,2021,Lafayette,Lafayette,1,1
1249,Lamar,1985,2021,Lamar,Lamar,1,1
1250,Lehigh,1985,2021,Lehigh,Lehigh,1,1
1251,Liberty,1989,2021,Liberty,Liberty,1,1
1252,Lipscomb,2003,2021,Lipscomb,Lipscomb,1,1
1254,LIU Brooklyn,1985,2021,LIU Brooklyn,StonyBrook,0,0
1255,Longwood,2005,2021,Longwood,Longwood,1,1
1256,Louisiana Tech,1985,2021,Louisiana Tech,LouisianaTech,0,1
1257,Louisville,1985,2021,Louisville,Louisville,1,1
1259,Loyola MD,1985,2021,Loyola MD,LoyolaMaryland,0,1
1261,LSU,1985,2021,LSU,LSU,1,1
1263,Maine,1985,2021,Maine,Maine,1,1
1264,Manhattan,1985,2021,Manhattan,Manhattan,1,1
1265,Marist,1985,2021,Marist,Marist,1,1
1266,Marquette,1985,2021,Marquette,Marquette,1,1
1267,Marshall,1985,2021,Marshall,Marshall,1,1
1268,Maryland,1985,2021,Maryland,Maryland,1,1
1269,Massachusetts,1985,2021,Massachusetts,Massachusetts,1,1
1272,Memphis,1985,2021,Memphis,Memphis,1,1
1273,Mercer,1985,2021,Mercer,Mercer,1,1
1274,Miami FL,1986,2021,Miami FL,MiamiFlorida,0,1
1275,Miami OH,1985,2021,Miami OH,MiamiOhio,0,1
1276,Michigan,1985,2021,Michigan,Michigan,1,1
1278,Minnesota,1985,2021,Minnesota,Minnesota,1,1
1279,Mississippi,1985,2021,Mississippi,Mississippi,1,1
1281,Missouri,1985,2021,Missouri,Missouri,1,1
1285,Montana,1985,2021,Montana,Montana,1,1
1298,Navy,1985,2021,Navy,Navy,1,1
1304,Nebraska,1985,2021,Nebraska,Nebraska,1,1
1305,Nevada,1985,2021,Nevada,Nevada,1,1
1306,New Hampshire,1985,2021,New Hampshire,NewHampshire,0,1
1307,New Mexico,1985,2021,New Mexico,NewMexico,0,1
1309,New Orleans,1985,2021,New Orleans,NewOrleans,0,1
1310,Niagara,1985,2021,Niagara,Niagara,1,1
1312,NJIT,2007,2021,NJIT,NJIT,1,1
1314,North Carolina,1985,2021,North Carolina,NorthCarolina,0,1
1315,North Dakota,2009,2021,North Dakota,NorthDakota,0,1
1316,North Florida,2006,2021,North Florida,NorthFlorida,0,1
1317,North Texas,1985,2021,North Texas,NorthTexas,0,1
1318,Northeastern,1985,2021,Northeastern,Northeastern,1,1
1319,Northern Arizona,1985,2021,Northern Arizona,NorthernArizona,0,1
1320,Northern Iowa,1985,2021,Northern Iowa,NorthernIowa,0,1
1321,Northwestern,1985,2021,Northwestern,Northwestern,1,1
1323,Notre Dame,1985,2021,Notre Dame,NotreDame,0,1
1324,Oakland,2000,2021,Oakland,Oakland,1,1
1325,Ohio,1985,2021,Ohio,Ohio,1,1
1328,Oklahoma,1985,2021,Oklahoma,Oklahoma,1,1
1330,Old Dominion,1985,2021,Old Dominion,OldDominion,0,1
1331,Oral Roberts,1985,2021,Oral Roberts,OralRoberts,0,1
1332,Oregon,1985,2021,Oregon,Oregon,1,1
1334,Pacific,1985,2021,Pacific,Pacific,1,1
1337,Pepperdine,1985,2021,Pepperdine,Pepperdine,1,1
1338,Pittsburgh,1985,2021,Pittsburgh,Pittsburgh,1,1
1339,Portland,1985,2021,Portland,Portland,1,1
1342,Presbyterian,2008,2021,Presbyterian,Presbyterian,1,1
1344,Providence,1985,2021,Providence,Providence,1,1
1345,Purdue,1985,2021,Purdue,Purdue,1,1
1346,Quinnipiac,1999,2021,Quinnipiac,Quinnipiac,1,1
1347,Radford,1985,2021,Radford,Radford,1,1
1348,Rhode Island,1985,2021,Rhode Island,RhodeIsland,0,1
1349,Rice,1985,2021,Rice,Rice,1,1
1350,Richmond,1985,2021,Richmond,Richmond,1,1
1351,Rider,1985,2021,Rider,Rider,1,1
1352,Robert Morris,1985,2021,Robert Morris,RobertMorris,0,1
1353,Rutgers,1985,2021,Rutgers,Rutgers,1,1
1357,Sacred Heart,2000,2021,Sacred Heart,SacredHeart,0,1
1359,Samford,1985,2021,Samford,Samford,1,1
1360,San Diego,1985,2021,San Diego,SanDiego,0,1
1362,San Francisco,1986,2021,San Francisco,SanFrancisco,0,1
1364,UC Santa Barbara,1985,2021,UC Santa Barbara,CalSantaBarbara,0,1
1365,Santa Clara,1985,2021,Santa Clara,SantaClara,0,1
1370,Seattle,2009,2021,Seattle,SeattleU,0,1
1371,Seton Hall,1985,2021,Seton Hall,SetonHall,0,1
1373,Siena,1985,2021,Siena,Siena,1,1
1374,SMU,1985,2021,SMU,SMU,1,1
1375,South Alabama,1985,2021,South Alabama,SouthAlabama,0,1
1376,South Carolina,1985,2021,South Carolina,SouthCarolina,0,1
1377,South Dakota,2009,2021,South Dakota,SouthDakota,0,1
1378,South Florida,1985,2021,South Florida,SouthFlorida,0,1
1379,Southern Miss,1985,2021,Southern Miss,SouthernMiss,0,1
1381,Southern Utah,1989,2021,Southern Utah,SouthernUtah,0,1
1390,Stanford,1985,2021,Stanford,Stanford,1,1
1391,Stetson,1985,2021,Stetson,Stetson,1,1
1392,Stony Brook,2000,2021,Stony Brook,StonyBrook,0,1
1393,Syracuse,1985,2021,Syracuse,Syracuse,1,1
1395,TCU,1985,2021,TCU,TCU,1,1
1396,Temple,1985,2021,Temple,Temple,1,1
1397,Tennessee,1985,2021,Tennessee,Tennessee,1,1
1399,Tennessee Tech,1985,2021,Tennessee Tech,TennesseeTech,0,1
1400,Texas,1985,2021,Texas,Texas,1,1
1401,Texas A&M,1985,2021,Texas A&M,TexasA&M,0,1
1403,Texas Tech,1985,2021,Texas Tech,TexasTech,0,1
1405,Toledo,1985,2021,Toledo,Toledo,1,1
1406,Towson,1985,2021,Towson,Towson,1,1
1407,Troy,1994,2021,Troy,Troy,1,1
1408,Tulane,1985,2021,Tulane,Tulane,1,1
1409,Tulsa,1985,2021,Tulsa,Tulsa,1,1
1412,UAB,1985,2021,UAB,UAB,1,1
1413,UC Davis,2005,2021,UC Davis,UCDavis,0,1
1414,UC Irvine,1985,2021,UC Irvine,CalIrvine,0,1
1415,UC Riverside,2002,2021,UC Riverside,CalRiverside,0,1
1416,UCF,1985,2021,UCF,CentralFlorida,0,1
1417,UCLA,1985,2021,UCLA,UCLA,1,1
1420,UMBC,1987,2021,UMBC,MDBaltimoreCo,0,1
1421,UNC Asheville,1987,2021,UNC Asheville,NCAsheville,0,1
1422,UNC Greensboro,1992,2021,UNC Greensboro,NCGreensboro,0,1
1423,UNC Wilmington,1985,2021,UNC Wilmington,NCWilmington,0,1
1424,UNLV,1985,2021,UNLV,UNLV,1,1
1425,USC,1985,2021,USC,USC,1,1
1426,UT Arlington,1985,2021,UT Arlington,UTArlington,0,1
1428,Utah,1985,2021,Utah,Utah,1,1
1430,Utah Valley,2005,2021,Utah Valley,UtahValley,0,1
1431,UTEP,1985,2021,UTEP,UTEP,1,1
1433,VCU,1985,2021,VCU,VaCommonwealth,0,1
1434,Valparaiso,1985,2021,Valparaiso,Valparaiso,1,1
1435,Vanderbilt,1985,2021,Vanderbilt,Vanderbilt,1,1
1436,Vermont,1985,2021,Vermont,Vermont,1,1
1437,Villanova,1985,2021,Villanova,Villanova,1,1
1438,Virginia,1985,2021,Virginia,Virginia,1,1
1439,Virginia Tech,1985,2021,Virginia Tech,VirginiaTech,0,1
1440,VMI,1985,2021,VMI,VMI,1,1
1447,Wagner,1985,2021,Wagner,Wagner,1,1
1448,Wake Forest,1985,2021,Wake Forest,WakeForest,0,1
1449,Washington,1985,2021,Washington,Washington,1,1
1452,West Virginia,1985,2021,West Virginia,WestVirginia,0,1
1456,William & Mary,1985,2021,William & Mary,William&Mary,0,1
1457,Winthrop,1987,2021,Winthrop,Winthrop,1,1
1458,Wisconsin,1985,2021,Wisconsin,Wisconsin,1,1
1459,Wofford,1996,2021,Wofford,Wofford,1,1
1461,Wyoming,1985,2021,Wyoming,Wyoming,1,1
1462,Xavier,1985,2021,Xavier,Xavier,1,1
1465,Cal Baptist,2019,2021,Cal Baptist,CaliforniaBaptist,0,1
1466,North Alabama,2019,2021,North Alabama,NorthAlabama,0,1
1467,Merrimack,2020,2021,Merrimack,Merrimack,1,1
1468,Bellarmine,2021,2021,Bellarmine,Bellarmine,1,1
1471,UC San Diego,2021,2021,UC San Diego,UCSanDiego,0,1
1101,Abilene Chr,2014,2021,Abilene Christian,AbileneChristian,0,1
1106,Alabama St,1985,2021,Alabama St.,AlabamaState,0,1
1107,SUNY Albany,2000,2021,Albany,AlbanyNY,0,1
1108,Alcorn St,1985,2021,Alcorn St.,AlcornState,0,1
1110,American Univ,1985,2021,American,American,0,1
1111,Appalachian St,1985,2021,Appalachian St.,AppalachianSt,0,1
1113,Arizona St,1985,2021,Arizona St.,ArizonaState,0,1
1114,Ark Little Rock,1985,2021,Little Rock,ArkansasLittleRock,0,1
1115,Ark Pine Bluff,1999,2021,Arkansas Pine Bluff,ArkPineBluff,0,1
1117,Arkansas St,1985,2021,Arkansas St.,ArkansasState,0,1
1123,Ball St,1985,2021,Ball St.,BallState,0,1
1129,Boise St,1985,2021,Boise St.,BoiseState,0,1
1131,Boston Univ,1985,2021,Boston University,BostonU,0,1
1141,C Michigan,1985,2021,Central Michigan,CentralMichigan,0,1
1148,Central Conn,1987,2021,Central Connecticut,CentralConn,0,1
1149,Charleston So,1985,2021,Charleston Southern,CharlestonSou,0,1
1152,Chicago St,1985,2021,Chicago St.,ChicagoSt,0,1
1154,Citadel,1985,2021,The Citadel,TheCitadel,0,1
1156,Cleveland St,1985,2021,Cleveland St.,ClevelandState,0,1
1157,Coastal Car,1987,2021,Coastal Carolina,CoastalCarolina,0,1
1158,Col Charleston,1992,2021,College of Charleston,CollCharleston,0,1
1161,Colorado St,1985,2021,Colorado St.,ColoradoState,0,1
1164,Coppin St,1986,2021,Coppin St.,CoppinState,0,1
1167,CS Bakersfield,2008,2021,Cal St. Bakersfield,CSBakersfield,0,1
1168,CS Fullerton,1985,2021,Cal St. Fullerton,CSFullerton,0,1
1169,CS Northridge,1991,2021,Cal St. Northridge,CSNorthridge,0,1
1170,CS Sacramento,1992,2021,Sacramento St.,SacramentoState,0,1
1175,Delaware St,1985,2021,Delaware St.,Delaware,0,1
1183,E Illinois,1985,2021,Eastern Illinois,EasternIllinois,0,1
1184,E Kentucky,1985,2021,Eastern Kentucky,EasternKentucky,0,1
1185,E Michigan,1985,2021,Eastern Michigan,EasternMichigan,0,1
1186,E Washington,1985,2021,Eastern Washington,E.Washington,0,1
1188,SIUE,2009,2021,Southern Illinois,SouthernIllinois,0,1
1190,ETSU,1985,2021,East Tennessee St.,ETennesseeSt,0,1
1192,F Dickinson,1985,2021,Fairleigh Dickinson,FairDickinson,0,1
1194,FL Atlantic,1994,2021,Florida Atlantic,FlaAtlantic,0,1
1195,FL Gulf Coast,2008,2021,Florida Gulf Coast,FlaGulfCoast,0,1
1199,Florida St,1985,2021,Florida St.,FloridaState,0,1
1201,Fresno St,1985,2021,Fresno St.,FresnoState,0,1
1203,G Washington,1985,2021,George Washington,GeorgeWashington,0,1
1204,Ga Southern,1985,2021,Georgia Southern,GeorgiaSouthern,0,1
1209,Georgia St,1985,2021,Georgia St.,GeorgiaState,0,1
1212,Grambling,1985,2021,Grambling St.,Grambling,1,1
1223,Houston Bap,1985,2021,Houston Baptist,HoustonBaptist,0,1
1226,Idaho St,1985,2021,Idaho St.,IdahoState,0,1
1227,IL Chicago,1985,2021,Illinois Chicago,IllinoisChicago,0,1
1229,Illinois St,1985,2021,Illinois St.,IllinoisState,0,1
1232,Indiana St,1985,2021,Indiana St.,IndianaState,0,1
1235,Iowa St,1985,2021,Iowa St.,IowaState,0,1
1238,Jackson St,1985,2021,Jackson St.,JacksonState,0,1
1240,Jacksonville St,1996,2021,Jacksonville St.,JacksonvilleSt,0,1
1243,Kansas St,1985,2021,Kansas St.,KansasState,0,1
1244,Kennesaw,2006,2021,Kennesaw St.,KennesawSt,0,1
1245,Kent,1985,2021,Kent St.,KentState,0,1
1253,Long Beach St,1985,2021,Long Beach St.,LongBeachState,0,1
1258,Loy Marymount,1985,2021,Loyola Marymount,LoyolaMarymount,0,1
1260,Loyola-Chicago,1985,2021,Loyola Chicago,LoyolaChicago,0,1
1262,MA Lowell,2014,2021,UMass Lowell,UMassLowell,0,1
1270,McNeese St,1985,2021,McNeese St.,McNeeseState,0,1
1277,Michigan St,1985,2021,Michigan St.,MichiganState,0,1
1280,Mississippi St,1985,2021,Mississippi St.,MississippiSt,0,1
1283,Missouri St,1985,2021,Missouri St.,MissouriSt,0,1
1284,Monmouth NJ,1985,2021,Monmouth,Monmouth,0,1
1286,Montana St,1985,2021,Montana St.,MontanaState,0,1
1287,Morehead St,1985,2021,Morehead St.,MoreheadState,0,1
1288,Morgan St,1985,2021,Morgan St.,MorganState,0,1
1290,MS Valley St,1985,2021,Mississippi Valley St.,MissValleySt,0,1
1291,Mt St Mary's,1989,2021,Mount St. Mary's,Mt.St.Mary's,0,1
1293,Murray St,1985,2021,Murray St.,MurrayState,0,1
1294,N Colorado,2005,2021,Northern Colorado,No.Colorado,0,1
1295,N Dakota St,2006,2021,North Dakota St.,NorthDakotaState,0,1
1296,N Illinois,1985,2021,Northern Illinois,NoIllinois,0,1
1297,N Kentucky,2013,2021,Northern Kentucky,NorthernKentucky,0,1
1299,NC A&T,1985,2021,North Carolina A&T,N.CarolinaAT,0,1
1300,NC Central,2008,2021,North Carolina Central,NCCentral,0,1
1301,NC State,1985,2021,North Carolina St.,NCState,0,1
1303,NE Omaha,2012,2021,Nebraska Omaha,NebraskaOmaha,0,1
1308,New Mexico St,1985,2021,New Mexico St.,NewMexicoState,0,1
1311,Nicholls St,1985,2021,Nicholls St.,NichollsState,0,1
1313,Norfolk St,1998,2021,Norfolk St.,NorfolkSt,0,1
1326,Ohio St,1985,2021,Ohio St.,OhioState,0,1
1329,Oklahoma St,1985,2021,Oklahoma St.,OklahomaState,0,1
1333,Oregon St,1985,2021,Oregon St.,OregonState,0,1
1336,Penn St,1985,2021,Penn St.,PennState,0,1
1340,Portland St,1999,2021,Portland St.,PortlandState,0,1
1341,Prairie View,1985,2021,Prairie View A&M,PrairieViewAM,0,1
1354,S Carolina St,1985,2021,South Carolina St.,SoCarolinaSt,0,1
1355,S Dakota St,2006,2021,South Dakota St.,SouthDakotaState,0,1
1356,S Illinois,1985,2021,Southern Illinois,SoIllinois,0,1
1358,Sam Houston St,1987,2021,Sam Houston St.,SamHoustonSt,0,1
1361,San Diego St,1985,2021,San Diego St.,SanDiego,0,1
1363,San Jose St,1985,2021,San Jose St.,SanJoseState,0,1
1367,SC Upstate,2008,2021,USC Upstate,USCUpstate,0,1
1368,SE Louisiana,1985,2021,Southeastern Louisiana,SELouisiana,0,1
1369,SE Missouri St,1992,2021,Southeast Missouri St.,SEMissouriSt,0,1
1372,SF Austin,1987,2021,Stephen F. Austin,StephenF.Austin,0,1
1380,Southern Univ,1985,2021,Southern,Southern,0,1
1382,St Bonaventure,1985,2021,St. Bonaventure,St.Bonaventure,0,1
1383,St Francis NY,1985,2021,St. Francis NY,St.FrancisNY,0,1
1384,St Francis PA,1985,2021,St. Francis PA,St.FrancisPA,0,1
1385,St John's,1985,2021,St. John's,St.Johns,0,1
1386,St Joseph's PA,1985,2021,Saint Joseph's,St.Josephs,0,1
1387,St Louis,1985,2021,Saint Louis,SaintLouis,0,1
1388,St Mary's CA,1985,2021,Saint Mary's,SaintMarysCA,0,1
1389,St Peter's,1985,2021,Saint Peter's,St.Peter's,0,1
1398,Tennessee St,1985,2021,Tennessee St.,TennesseeState,0,1
1402,Texas St,1985,2021,Texas St.,TexasState,0,1
1404,TN Martin,1993,2021,Tennessee Martin,TennMartin,0,1
1411,TX Southern,1985,2021,Texas Southern,TexasSouthern,0,1
1418,Louisiana,1985,2021,Louisiana Lafayette,UL-Lafayette,0,1
1419,ULM,1985,2021,Louisiana Monroe,UL-Monroe,0,1
1427,UT San Antonio,1985,2021,UTSA,TexasSanAntonio,0,1
1429,Utah St,1985,2021,Utah St.,UtahState,0,1
1441,W Carolina,1985,2021,Western Carolina,WesternCarolina,0,1
1442,W Illinois,1985,2021,Western Illinois,WesternIllinois,0,1
1443,WKU,1985,2021,Western Kentucky,esternKentucky,0,1
1444,W Michigan,1985,2021,Western Michigan,WesternMichigan,0,1
1450,Washington St,1985,2021,Washington St.,WashingtonState,0,1
1451,Weber St,1985,2021,Weber St.,WeberState,0,1
1453,WI Green Bay,1985,2021,Green Bay,WiscGreenBay,0,1
1454,WI Milwaukee,1991,2021,Milwaukee,WiscMilwaukee,0,1
1455,Wichita St,1985,2021,Wichita St.,WichitaState,0,1
1460,Wright St,1988,2021,Wright St.,WrightState,0,1
1464,Youngstown St,1985,2021,Youngstown St.,YoungstownState,0,1
1469,Dixie St,2021,2021,Dixie St.,DixieState,0,1
1470,Tarleton St,2021,2021,Tarleton St.,TarletonSt,0,1
